OBJECTID,PROVINCIA,DISTRITO,CORREGIMIENTO,CANTIDAD,HOSPITALIZADO,AISLAMIENTO_DOMICILIARIO,FALLECIDO,UCI,RECUPERADO,LONG,LAT,GlobalID
1,BOCAS DEL TORO,ALMIRANTE ,ALMIRANTE,1,0,1,0,0,0,346352.2773,1030527.7679,78a7066b-dd3c-495d-8030-ce63e39dd394
2,BOCAS DEL TORO,ALMIRANTE ,BARRIADA GUAYMI,1,0,1,0,0,0,342522.3625,1028729.9374,a09e8e0c-d93a-4232-bfa8-557046d43c44
3,BOCAS DEL TORO,ALMIRANTE ,BARRIO FRANCES,,,,,,,349406.2891,1028416.569,c3b21f87-6851-4ca0-abc8-c23536023c8e
4,BOCAS DEL TORO,ALMIRANTE ,NANCE DEL RISCO,,,,,,,318747.8223,1002571.7652,3572df5c-ebcc-4304-88c8-0ff27f3dff3e
5,BOCAS DEL TORO,ALMIRANTE ,VALLE DE AGUA ARRIBA,,,,,,,349040.0681,1019400.2416,ce924bbb-fefa-49f4-a779-050e0b5309dc
6,BOCAS DEL TORO,ALMIRANTE ,VALLE DEL RISCO,,,,,,,341348.2177,996896.0823,4cf4caf0-f26f-431c-9f98-e52027be079c
7,BOCAS DEL TORO,BOCAS DEL TORO,BASTIMENTOS,,,,,,,373637.1122,1028915.5979,e144545f-8285-4653-898f-ae470439a665
8,BOCAS DEL TORO,BOCAS DEL TORO,BOCAS DEL TORO (CABECERA),,,,,,,359761.359,1038960.5653,4e8957e0-bbbd-4a84-bbaa-79e71eca6211
9,BOCAS DEL TORO,BOCAS DEL TORO,CAUCHERO,,,,,,,350521.5616,1009386.4911,c14f6275-3489-4fea-9680-be4c08657a19
10,BOCAS DEL TORO,BOCAS DEL TORO,PUNTA LAUREL,,,,,,,378358.1898,1014622.6252,86595786-acae-4745-be57-4cf16c38ae88
11,BOCAS DEL TORO,BOCAS DEL TORO,TIERRA OSCURA,,,,,,,363690.8502,1018916.2834,342c60ab-5f5d-453b-83bb-df74b79d9a7b
12,BOCAS DEL TORO,CHANGUINOLA,BARRIADA 4 DE ABRIL,,,,,,,331028.005,1046871.6218,d9078709-6d02-498f-a72a-529edb4e5c29
13,BOCAS DEL TORO,CHANGUINOLA,CHANGUINOLA (CABECERA),6,0,4,0,0,2,332902.7869,1044860.9983,02501ad2-3373-4ffa-8055-65e9c9956fcf
14,BOCAS DEL TORO,CHANGUINOLA,COCHIGRO,,,,,,,328653.5684,1024440.5916,42c789c6-94eb-4e64-81bb-88035cb4b76f
15,BOCAS DEL TORO,CHANGUINOLA,EL EMPALME,5,0,2,0,0,3,334927.6811,1040830.6651,37d8f49c-7028-476c-9947-ab93818c2fdc
16,BOCAS DEL TORO,CHANGUINOLA,EL SILENCIO,,,,,,,326743.8479,1039070.1549,dad9faf2-5371-4920-8cf2-3e3db89aebe3
17,BOCAS DEL TORO,CHANGUINOLA,EL TERIBE,,,,,,,307741.441,1025811.4235,fbfeac23-4dda-4cae-9328-da8bc57883da
18,BOCAS DEL TORO,CHANGUINOLA,FINCA 30,,,,,,,328945.3701,1042941.9122,ea033c75-0c3a-4d80-b05b-e1aebeea25ff
19,BOCAS DEL TORO,CHANGUINOLA,FINCA 6,,,,,,,335513.9597,1049095.3533,eb4c5373-e66d-41cd-a4a3-361bc78ea1aa
20,BOCAS DEL TORO,CHANGUINOLA,FINCA 60,,,,,,,337482.1538,1044846.9771,aec88dfc-9f7b-4474-89ce-61b3ca331f1d
21,BOCAS DEL TORO,CHANGUINOLA,GUABITO,3,0,2,0,0,1,324685.7068,1049082.9603,e3b56f69-ec51-4310-a2dc-b74f990a3b3e
22,BOCAS DEL TORO,CHANGUINOLA,LA GLORIA,,,,,,,341713.8671,1037330.347,075a1797-fb57-4f25-b9f5-c7d210a3905a
23,BOCAS DEL TORO,CHANGUINOLA,LAS DELICIAS,,,,,,,296721.1414,1041768.0326,8c388d0d-5993-4885-8cfd-2f80f35bb357
24,BOCAS DEL TORO,CHANGUINOLA,LAS TABLAS,,,,,,,308716.0875,1054251.3615,b0eb546e-05fa-4cd8-80b0-b266e39663a7
