OBJECTID,PROVINCIA,DISTRITO,CORREGIMIENTO,CANTIDAD,HOSPITALIZADO,AISLAMIENTO_DOMICILIARIO,FALLECIDO,UCI,RECUPERADO,LONG,LAT,GlobalID,ratio_hospitalizados_fallecidos,ratio_recuperados_aislados,ratio_hospitalizados_recuperados,DISTANCIA_CANTIDAD
1,BOCAS DEL TORO,ALMIRANTE ,ALMIRANTE,1,0,1,0,0,0,346352.2773,1030527.7679,78a7066b-dd3c-495d-8030-ce63e39dd394,0.0,0.0,0.0,1087174.0340919904
2,BOCAS DEL TORO,ALMIRANTE ,BARRIADA GUAYMI,1,0,1,0,0,0,342522.3625,1028729.9374,a09e8e0c-d93a-4232-bfa8-557046d43c44,0.0,0.0,0.0,1084254.0536772686
3,BOCAS DEL TORO,ALMIRANTE ,BARRIO FRANCES,37,1,16,1,0,19,349406.2891,1028416.569,c3b21f87-6851-4ca0-abc8-c23536023c8e,0.999999000001,1.1874999257812546,0.0526315761772854,40187610.83638791
4,BOCAS DEL TORO,ALMIRANTE ,NANCE DEL RISCO,37,1,16,1,0,19,318747.8223,1002571.7652,3572df5c-ebcc-4304-88c8-0ff27f3dff3e,0.999999000001,1.1874999257812546,0.0526315761772854,38924814.52954678
5,BOCAS DEL TORO,ALMIRANTE ,VALLE DE AGUA ARRIBA,37,1,16,1,0,19,349040.0681,1019400.2416,ce924bbb-fefa-49f4-a779-050e0b5309dc,0.999999000001,1.1874999257812546,0.0526315761772854,39867492.64658655
6,BOCAS DEL TORO,ALMIRANTE ,VALLE DEL RISCO,37,1,16,1,0,19,341348.2177,996896.0823,4cf4caf0-f26f-431c-9f98-e52027be079c,0.999999000001,1.1874999257812546,0.0526315761772854,38987544.60005508
7,BOCAS DEL TORO,BOCAS DEL TORO,BASTIMENTOS,37,1,16,1,0,19,373637.1122,1028915.5979,e144545f-8285-4653-898f-ae470439a665,0.999999000001,1.1874999257812546,0.0526315761772854,40502276.07092508
8,BOCAS DEL TORO,BOCAS DEL TORO,BOCAS DEL TORO (CABECERA),37,1,16,1,0,19,359761.359,1038960.5653,4e8957e0-bbbd-4a84-bbaa-79e71eca6211,0.999999000001,1.1874999257812546,0.0526315761772854,40680945.44510012
9,BOCAS DEL TORO,BOCAS DEL TORO,CAUCHERO,37,1,16,1,0,19,350521.5616,1009386.4911,c14f6275-3489-4fea-9680-be4c08657a19,0.999999000001,1.1874999257812546,0.0526315761772854,39535092.1957434
10,BOCAS DEL TORO,BOCAS DEL TORO,PUNTA LAUREL,37,1,16,1,0,19,378358.1898,1014622.6252,86595786-acae-4745-be57-4cf16c38ae88,0.999999000001,1.1874999257812546,0.0526315761772854,40066301.97768458
