OBJECTID,PROVINCIA,DISTRITO,CORREGIMIENTO,CANTIDAD,HOSPITALIZADO,AISLAMIENTO_DOMICILIARIO,FALLECIDO,UCI,RECUPERADO,LONG,LAT,GlobalID,ratio_hospitalizados_fallecidos,ratio_recuperados_aislados,ratio_hospitalizados_recuperados,DISTANCIA_CANTIDAD
31,CHIRIQUÍ,ALANJE,ALANJE (CABECERA),2,0,0,0,0,2,328375.6727,929101.605799999,fd9f6066-4e61-4048-aad6-ad3bc97ce3b6,0.0,2000000.0,0.0,1970847.915310884
32,CHIRIQUÍ,ALANJE,CANTA GALLO,37,1,16,1,0,19,321434.4217,927214.7104,5c440d2e-28da-4a26-8128-2f90d614d09a,0.999999000001,1.1874999257812546,0.0526315761772854,36309938.389983095
33,CHIRIQUÍ,ALANJE,DIVALA,5,0,1,0,0,4,314232.509,929305.8923,fa8cef4a-3aca-4155-ba7c-8e134548ccb5,0.0,3.999996000004,0.0,4904975.81843156
34,CHIRIQUÍ,ALANJE,EL TEJAR,9,1,8,0,0,0,327563.726,932860.9066,5daedfce-62da-4340-b516-59f96a72f8d2,1000000.0,0.0,1000000.0,8898298.978902638
35,CHIRIQUÍ,ALANJE,GUARUMAL,37,1,16,1,0,19,330693.9697,920871.012499999,f07c6e67-a571-4aab-93c6-424b65a7aaf1,0.999999000001,1.1874999257812546,0.0526315761772854,36202603.12382501
36,CHIRIQUÍ,ALANJE,NUEVO MEXICO,37,1,16,1,0,19,308164.4896,930496.313999999,02046766-d345-4848-9310-71c4e0e8dffe,0.999999000001,1.1874999257812546,0.0526315761772854,36267337.77370018
37,CHIRIQUÍ,ALANJE,PALO GRANDE,37,1,16,1,0,19,323503.6739,923118.1131,ca051a94-ab62-4f20-9b9d-624eabf68d29,0.999999000001,1.1874999257812546,0.0526315761772854,36192008.74300264
38,CHIRIQUÍ,ALANJE,QUEREVALO,37,1,16,1,0,19,334334.4556,923216.4343,97cee216-8d45-42a7-a2ec-f751ae6c3d84,0.999999000001,1.1874999257812546,0.0526315761772854,36329932.65026079
39,CHIRIQUÍ,ALANJE,SANTO TOMAS,1,0,0,0,0,1,317806.8278,927828.700099999,86cebc8c-56db-4da1-b27f-f8852611fcd7,0.0,1000000.0,0.0,980748.324763062
40,CHIRIQUÍ,BARÚ,BACO,37,1,16,1,0,19,304838.1174,925258.3489,3072947c-07ca-4291-babd-a35701ff4804,0.999999000001,1.1874999257812546,0.0526315761772854,36044709.70960759
41,CHIRIQUÍ,BARÚ,LIMONES,37,1,16,1,0,19,292487.4546,896707.974400001,e94c7b8b-dcfd-44d0-9c33-fb3f60973051,0.999999000001,1.1874999257812546,0.0526315761772854,34898554.21439886
